PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,33.0000198,129.2959998,-0.297,6.098,-0.055,1,4929,43,9
2,33.0000167,129.3000008,-0.297,5.135,0.214,1,4929,44,0
3,32.5958757,129.3000481,-0.297,-38.303,12.493,1,4929,34,90
4,32.5956617,129.3001597,-0.297,-104.194,41.448,1,4929,34,90
5,32.5955873,129.3002102,-0.297,-127.13,54.57,1,4929,34,90
6,32.5954038,129.300387,-0.297,-183.639,100.446,1,4929,34,90
7,32.595307,129.3004816,-0.297,-213.479,125.02,1,4929,34,90
8,32.5952545,129.3005747,-0.297,-229.64,149.181,1,4929,34,90
9,32.5952047,129.3006684,-0.297,-244.99,173.511,1,4929,34,90
10,32.5951855,129.3007013,-0.297,-250.899,182.026,1,4929,34,90
11,32.5951496,129.3007365,-0.297,-261.967,191.17,1,4929,34,90
12,32.5951108,129.3007583,-0.297,-273.901,196.837,1,4929,34,90
13,32.5950631,129.3007721,-0.297,-288.588,200.412,1,4929,34,90
14,32.5959188,129.3000326,-0.315,-25.022,8.472,1,4929,34,90
15,33.0000201,129.3000002,-0.297,6.187,0.048,1,4929,44,0
16,32.5958782,129.300047,-0.333,-37.509,12.211,1,4929,34,90
17,32.5957677,129.3001038,-0.351,-71.568,26.939,1,4929,34,90
18,32.595659,129.3001605,-0.369,-105.052,41.66,1,4929,34,90
19,32.5955888,129.3002085,-0.387,-126.654,54.12,1,4929,34,90
20,32.5954056,129.3003856,-0.405,-183.085,100.08,1,4929,34,90
21,32.5953085,129.3004777,-0.423,-213.02,124.006,1,4929,34,90
22,32.5952548,129.3005733,-0.441,-229.553,148.807,1,4929,34,90
23,32.595207,129.3006629,-0.459,-244.258,172.068,1,4929,34,90
24,32.5951884,129.300697,-0.477,-249.993,180.911,1,4929,34,90
25,32.5951521,129.3007351,-0.495,-261.188,190.821,1,4929,34,90
26,32.595114,129.3007573,-0.513,-272.928,196.573,1,4929,34,90
27,32.5949076,129.3008208,-0.391,-336.502,213.051,1,4929,34,90
28,33.0000135,129.3000019,-0.297,4.172,0.483,1,4929,44,0
29,33.0000104,129.3000029,-0.297,3.209,0.752,1,4929,44,0
30,33.0000073,129.3000039,-0.297,2.246,1.021,1,4929,44,0
31,33.0000042,129.300005,-0.297,1.283,1.29,1,4929,44,0
32,33.000001,129.300006,-0.297,0.32,1.559,1,4929,44,0
33,32.5959979,129.300007,-0.297,-0.643,1.828,1,4929,34,90
34,32.5959948,129.3000081,-0.297,-1.606,2.097,1,4929,34,90
35,32.5959917,129.3000091,-0.297,-2.569,2.366,1,4929,34,90
36,32.5959885,129.3000102,-0.297,-3.532,2.635,1,4929,34,90
37,32.5959854,129.3000112,-0.297,-4.495,2.904,1,4929,34,90
38,32.5959823,129.3000122,-0.297,-5.458,3.173,1,4929,34,90
39,32.5959792,129.3000133,-0.297,-6.421,3.442,1,4929,34,90
40,32.595976,129.3000143,-0.297,-7.384,3.711,1,4929,34,90
41,32.5959729,129.3000153,-0.297,-8.347,3.98,1,4929,34,90
42,32.5959698,129.3000164,-0.297,-9.31,4.249,1,4929,34,90
43,32.5959667,129.3000174,-0.297,-10.273,4.518,1,4929,34,90
44,32.5959635,129.3000184,-0.297,-11.236,4.787,1,4929,34,90
45,32.5959604,129.3000195,-0.297,-12.199,5.056,1,4929,34,90
46,32.5959573,129.3000205,-0.297,-13.162,5.325,1,4929,34,90
47,32.5959541,129.3000216,-0.297,-14.125,5.594,1,4929,34,90
48,32.595951,129.3000226,-0.297,-15.088,5.863,1,4929,34,90
49,32.5959479,129.3000236,-0.297,-16.051,6.132,1,4929,34,90
50,32.5959448,129.3000247,-0.297,-17.014,6.401,1,4929,34,90
51,32.5959416,129.3000257,-0.297,-17.977,6.67,1,4929,34,90
52,32.5959385,129.3000267,-0.297,-18.94,6.939,1,4929,34,90
53,32.5959354,129.3000278,-0.297,-19.903,7.208,1,4929,34,90
54,32.5959323,129.3000288,-0.297,-20.866,7.477,1,4929,34,90
55,32.5959291,129.3000298,-0.297,-21.829,7.746,1,4929,34,90
56,32.595926,129.3000309,-0.297,-22.792,8.015,1,4929,34,90
57,32.5959229,129.3000319,-0.297,-23.755,8.284,1,4929,34,90
58,32.5959198,129.300033,-0.297,-24.718,8.553,1,4929,34,90
59,32.5959166,129.300034,-0.297,-25.681,8.822,1,4929,34,90
60,32.5959135,129.300035,-0.297,-26.644,9.091,1,4929,34,90
61,32.5959104,129.3000361,-0.297,-27.607,9.36,1,4929,34,90
62,32.5959073,129.3000371,-0.297,-28.57,9.629,1,4929,34,90
63,32.5959041,129.3000381,-0.297,-29.533,9.898,1,4929,34,90
64,32.595901,129.3000392,-0.297,-30.496,10.167,1,4929,34,90
65,32.5958979,129.3000402,-0.297,-31.459,10.436,1,4929,34,90
66,32.5958947,129.3000412,-0.297,-32.422,10.705,1,4929,34,90
67,32.5958916,129.3000423,-0.297,-33.385,10.974,1,4929,34,90
68,32.5958885,129.3000433,-0.297,-34.348,11.243,1,4929,34,90
69,32.5958854,129.3000444,-0.297,-35.311,11.512,1,4929,34,90
70,32.5958822,129.3000454,-0.297,-36.274,11.781,1,4929,34,90
71,32.5958791,129.3000464,-0.297,-37.237,12.05,1,4929,34,90
72,32.5958786,129.3000466,-0.297,-37.387,12.092,1,4929,34,90
73,32.5958727,129.3000497,-0.297,-39.219,12.894,1,4929,34,90
74,32.5958697,129.3000512,-0.297,-40.135,13.295,1,4929,34,90
75,32.5958667,129.3000528,-0.297,-41.051,13.696,1,4929,34,90
76,32.5958638,129.3000543,-0.297,-41.967,14.097,1,4929,34,90
77,32.5958608,129.3000559,-0.297,-42.883,14.498,1,4929,34,90
78,32.5958578,129.3000574,-0.297,-43.799,14.899,1,4929,34,90
79,32.5958548,129.3000589,-0.297,-44.715,15.3,1,4929,34,90
80,32.5958519,129.3000605,-0.297,-45.631,15.701,1,4929,34,90
81,32.5958489,129.300062,-0.297,-46.547,16.102,1,4929,34,90
82,32.5958459,129.3000636,-0.297,-47.463,16.503,1,4929,34,90
83,32.5958429,129.3000651,-0.297,-48.379,16.904,1,4929,34,90
84,32.59584,129.3000667,-0.297,-49.295,17.305,1,4929,34,90
85,32.595837,129.3000682,-0.297,-50.211,17.706,1,4929,34,90
86,32.595834,129.3000698,-0.297,-51.127,18.107,1,4929,34,90
87,32.595831,129.3000713,-0.297,-52.043,18.508,1,4929,34,90
88,32.5958281,129.3000728,-0.297,-52.959,18.909,1,4929,34,90
89,32.5958251,129.3000744,-0.297,-53.875,19.31,1,4929,34,90
90,32.5958221,129.3000759,-0.297,-54.791,19.711,1,4929,34,90
91,32.5958192,129.3000775,-0.297,-55.707,20.112,1,4929,34,90
92,32.5958162,129.300079,-0.297,-56.623,20.513,1,4929,34,90
93,32.5958132,129.3000806,-0.297,-57.539,20.914,1,4929,34,90
94,32.5958102,129.3000821,-0.297,-58.455,21.315,1,4929,34,90
95,32.5958073,129.3000837,-0.297,-59.371,21.716,1,4929,34,90
96,32.5958043,129.3000852,-0.297,-60.287,22.117,1,4929,34,90
97,32.5958013,129.3000868,-0.297,-61.203,22.518,1,4929,34,90
98,32.5957983,129.3000883,-0.297,-62.119,22.919,1,4929,34,90
99,32.5957954,129.3000898,-0.297,-63.035,23.32,1,4929,34,90
100,32.5957924,129.3000914,-0.297,-63.951,23.721,1,4929,34,90
101,32.5957894,129.3000929,-0.297,-64.867,24.122,1,4929,34,90
102,32.5957864,129.3000945,-0.297,-65.783,24.523,1,4929,34,90
103,32.5957835,129.300096,-0.297,-66.699,24.924,1,4929,34,90
104,32.5957805,129.3000976,-0.297,-67.615,25.325,1,4929,34,90
105,32.5957775,129.3000991,-0.297,-68.531,25.726,1,4929,34,90
106,32.5957745,129.3001007,-0.297,-69.447,26.127,1,4929,34,90
107,32.5957716,129.3001022,-0.297,-70.363,26.528,1,4929,34,90
108,32.5957686,129.3001037,-0.297,-71.279,26.929,1,4929,34,90
109,32.5957656,129.3001053,-0.297,-72.195,27.33,1,4929,34,90
110,32.5957627,129.3001068,-0.297,-73.111,27.731,1,4929,34,90
111,32.5957597,129.3001084,-0.297,-74.027,28.132,1,4929,34,90
112,32.5957567,129.3001099,-0.297,-74.943,28.533,1,4929,34,90
113,32.5957537,129.3001115,-0.297,-75.859,28.934,1,4929,34,90
114,32.5957508,129.300113,-0.297,-76.775,29.335,1,4929,34,90
115,32.5957478,129.3001146,-0.297,-77.691,29.736,1,4929,34,90
116,32.5957448,129.3001161,-0.297,-78.607,30.137,1,4929,34,90
117,32.5957418,129.3001176,-0.297,-79.523,30.538,1,4929,34,90
118,32.5957389,129.3001192,-0.297,-80.439,30.939,1,4929,34,90
119,32.5957359,129.3001207,-0.297,-81.355,31.34,1,4929,34,90
120,32.5957329,129.3001223,-0.297,-82.271,31.741,1,4929,34,90
121,32.5957299,129.3001238,-0.297,-83.187,32.142,1,4929,34,90
122,32.595727,129.3001254,-0.297,-84.103,32.543,1,4929,34,90
123,32.595724,129.3001269,-0.297,-85.019,32.944,1,4929,34,90
124,32.595721,129.3001285,-0.297,-85.935,33.345,1,4929,34,90
125,32.5957181,129.30013,-0.297,-86.851,33.746,1,4929,34,90
126,32.5957151,129.3001316,-0.297,-87.767,34.147,1,4929,34,90
127,32.5957121,129.3001331,-0.297,-88.683,34.548,1,4929,34,90
128,32.5957091,129.3001346,-0.297,-89.599,34.949,1,4929,34,90
129,32.5957062,129.3001362,-0.297,-90.515,35.35,1,4929,34,90
130,32.5957032,129.3001377,-0.297,-91.431,35.751,1,4929,34,90
131,32.5957002,129.3001393,-0.297,-92.347,36.152,1,4929,34,90
132,32.5956972,129.3001408,-0.297,-93.263,36.553,1,4929,34,90
133,32.5956943,129.3001424,-0.297,-94.179,36.954,1,4929,34,90
134,32.5956913,129.3001439,-0.297,-95.095,37.355,1,4929,34,90
135,32.5956883,129.3001455,-0.297,-96.011,37.756,1,4929,34,90
136,32.5956853,129.300147,-0.297,-96.927,38.157,1,4929,34,90
137,32.5956824,129.3001485,-0.297,-97.843,38.558,1,4929,34,90
138,32.5956794,129.3001501,-0.297,-98.759,38.959,1,4929,34,90
139,32.5956764,129.3001516,-0.297,-99.675,39.36,1,4929,34,90
140,32.5956734,129.3001532,-0.297,-100.591,39.761,1,4929,34,90
141,32.5956705,129.3001547,-0.297,-101.507,40.162,1,4929,34,90
142,32.5956675,129.3001563,-0.297,-102.423,40.563,1,4929,34,90
143,32.5956646,129.3001578,-0.297,-103.323,40.957,1,4929,34,90
144,32.5956589,129.3001616,-0.297,-105.065,41.939,1,4929,34,90
145,32.5956561,129.3001635,-0.297,-105.936,42.43,1,4929,34,90
146,32.5956533,129.3001654,-0.297,-106.807,42.921,1,4929,34,90
147,32.5956504,129.3001672,-0.297,-107.678,43.412,1,4929,34,90
148,32.5956476,129.3001691,-0.297,-108.549,43.903,1,4929,34,90
149,32.5956448,129.300171,-0.297,-109.42,44.394,1,4929,34,90
150,32.595642,129.3001729,-0.297,-110.291,44.885,1,4929,34,90
151,32.5956391,129.3001748,-0.297,-111.162,45.376,1,4929,34,90
152,32.5956363,129.3001767,-0.297,-112.033,45.867,1,4929,34,90
153,32.5956335,129.3001786,-0.297,-112.904,46.358,1,4929,34,90
154,32.5956306,129.3001805,-0.297,-113.775,46.849,1,4929,34,90
155,32.5956278,129.3001824,-0.297,-114.646,47.34,1,4929,34,90
156,32.595625,129.3001843,-0.297,-115.517,47.831,1,4929,34,90
157,32.5956222,129.3001862,-0.297,-116.388,48.322,1,4929,34,90
158,32.5956193,129.3001881,-0.297,-117.259,48.813,1,4929,34,90
159,32.5956165,129.3001899,-0.297,-118.13,49.304,1,4929,34,90
160,32.5956137,129.3001918,-0.297,-119.001,49.795,1,4929,34,90
161,32.5956109,129.3001937,-0.297,-119.872,50.286,1,4929,34,90
162,32.595608,129.3001956,-0.297,-120.743,50.777,1,4929,34,90
163,32.5956052,129.3001975,-0.297,-121.614,51.268,1,4929,34,90
164,32.5956024,129.3001994,-0.297,-122.485,51.759,1,4929,34,90
165,32.5955995,129.3002013,-0.297,-123.356,52.25,1,4929,34,90
166,32.5955967,129.3002032,-0.297,-124.227,52.741,1,4929,34,90
167,32.5955939,129.3002051,-0.297,-125.098,53.232,1,4929,34,90
168,32.5955911,129.300207,-0.297,-125.969,53.723,1,4929,34,90
169,32.5955898,129.3002078,-0.297,-126.354,53.94,1,4929,34,90
170,32.5955848,129.3002127,-0.297,-127.906,55.2,1,4929,34,90
171,32.5955823,129.3002151,-0.297,-128.682,55.83,1,4929,34,90
172,32.5955797,129.3002175,-0.297,-129.458,56.46,1,4929,34,90
173,32.5955772,129.3002199,-0.297,-130.234,57.09,1,4929,34,90
174,32.5955747,129.3002224,-0.297,-131.01,57.72,1,4929,34,90
175,32.5955722,129.3002248,-0.297,-131.786,58.35,1,4929,34,90
176,32.5955697,129.3002272,-0.297,-132.562,58.98,1,4929,34,90
177,32.5955671,129.3002296,-0.297,-133.338,59.61,1,4929,34,90
178,32.5955646,129.3002321,-0.297,-134.114,60.24,1,4929,34,90
179,32.5955621,129.3002345,-0.297,-134.89,60.87,1,4929,34,90
180,32.5955596,129.3002369,-0.297,-135.666,61.5,1,4929,34,90
181,32.5955571,129.3002394,-0.297,-136.442,62.13,1,4929,34,90
182,32.5955545,129.3002418,-0.297,-137.218,62.76,1,4929,34,90
183,32.595552,129.3002442,-0.297,-137.994,63.39,1,4929,34,90
184,32.5955495,129.3002466,-0.297,-138.77,64.02,1,4929,34,90
185,32.595547,129.3002491,-0.297,-139.546,64.65,1,4929,34,90
186,32.5955445,129.3002515,-0.297,-140.322,65.28,1,4929,34,90
187,32.5955419,129.3002539,-0.297,-141.098,65.91,1,4929,34,90
188,32.5955394,129.3002563,-0.297,-141.874,66.54,1,4929,34,90
189,32.5955369,129.3002588,-0.297,-142.65,67.17,1,4929,34,90
190,32.5955344,129.3002612,-0.297,-143.426,67.8,1,4929,34,90
191,32.5955319,129.3002636,-0.297,-144.202,68.43,1,4929,34,90
192,32.5955293,129.3002661,-0.297,-144.978,69.06,1,4929,34,90
193,32.5955268,129.3002685,-0.297,-145.754,69.69,1,4929,34,90
194,32.5955243,129.3002709,-0.297,-146.53,70.32,1,4929,34,90
195,32.5955218,129.3002733,-0.297,-147.306,70.95,1,4929,34,90
196,32.5955193,129.3002758,-0.297,-148.082,71.58,1,4929,34,90
197,32.5955168,129.3002782,-0.297,-148.858,72.21,1,4929,34,90
198,32.5955142,129.3002806,-0.297,-149.634,72.84,1,4929,34,90
199,32.5955117,129.300283,-0.297,-150.41,73.47,1,4929,34,90
200,32.5955092,129.3002855,-0.297,-151.186,74.1,1,4929,34,90
201,32.5955067,129.3002879,-0.297,-151.962,74.73,1,4929,34,90
202,32.5955042,129.3002903,-0.297,-152.738,75.36,1,4929,34,90
203,32.5955016,129.3002928,-0.297,-153.514,75.99,1,4929,34,90
204,32.5954991,129.3002952,-0.297,-154.29,76.62,1,4929,34,90
205,32.5954966,129.3002976,-0.297,-155.066,77.25,1,4929,34,90
206,32.5954941,129.3003,-0.297,-155.842,77.88,1,4929,34,90
207,32.5954916,129.3003025,-0.297,-156.618,78.51,1,4929,34,90
208,32.595489,129.3003049,-0.297,-157.394,79.14,1,4929,34,90
209,32.5954865,129.3003073,-0.297,-158.17,79.77,1,4929,34,90
210,32.595484,129.3003097,-0.297,-158.946,80.4,1,4929,34,90
211,32.5954815,129.3003122,-0.297,-159.722,81.03,1,4929,34,90
212,32.595479,129.3003146,-0.297,-160.498,81.66,1,4929,34,90
213,32.5954764,129.300317,-0.297,-161.274,82.29,1,4929,34,90
214,32.5954739,129.3003195,-0.297,-162.05,82.92,1,4929,34,90
215,32.5954714,129.3003219,-0.297,-162.826,83.55,1,4929,34,90
216,32.5954689,129.3003243,-0.297,-163.602,84.18,1,4929,34,90
217,32.5954664,129.3003267,-0.297,-164.378,84.81,1,4929,34,90
218,32.5954638,129.3003292,-0.297,-165.154,85.44,1,4929,34,90
219,32.5954613,129.3003316,-0.297,-165.93,86.07,1,4929,34,90
220,32.5954588,129.300334,-0.297,-166.706,86.7,1,4929,34,90
221,32.5954563,129.3003364,-0.297,-167.482,87.33,1,4929,34,90
222,32.5954538,129.3003389,-0.297,-168.258,87.96,1,4929,34,90
