PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
223,32.5954513,129.3003413,-0.297,-169.034,88.59,1,4929,34,90
224,32.5954487,129.3003437,-0.297,-169.81,89.22,1,4929,34,90
225,32.5954462,129.3003461,-0.297,-170.586,89.85,1,4929,34,90
226,32.5954437,129.3003486,-0.297,-171.362,90.48,1,4929,34,90
227,32.5954412,129.300351,-0.297,-172.138,91.11,1,4929,34,90
228,32.5954387,129.3003534,-0.297,-172.914,91.74,1,4929,34,90
229,32.5954361,129.3003559,-0.297,-173.69,92.37,1,4929,34,90
230,32.5954336,129.3003583,-0.297,-174.466,93,1,4929,34,90
231,32.5954311,129.3003607,-0.297,-175.242,93.63,1,4929,34,90
232,32.5954286,129.3003631,-0.297,-176.018,94.26,1,4929,34,90
233,32.5954261,129.3003656,-0.297,-176.794,94.89,1,4929,34,90
234,32.5954235,129.300368,-0.297,-177.57,95.52,1,4929,34,90
235,32.595421,129.3003704,-0.297,-178.346,96.15,1,4929,34,90
236,32.5954185,129.3003728,-0.297,-179.122,96.78,1,4929,34,90
237,32.595416,129.3003753,-0.297,-179.898,97.41,1,4929,34,90
238,32.5954135,129.3003777,-0.297,-180.674,98.04,1,4929,34,90
239,32.5954109,129.3003801,-0.297,-181.45,98.67,1,4929,34,90
240,32.5954084,129.3003826,-0.297,-182.226,99.3,1,4929,34,90
241,32.5954064,129.3003845,-0.297,-182.862,99.816,1,4929,34,90
242,32.5954013,129.3003894,-0.297,-184.416,101.076,1,4929,34,90
243,32.5953988,129.3003918,-0.297,-185.193,101.706,1,4929,34,90
244,32.5953963,129.3003943,-0.297,-185.97,102.336,1,4929,34,90
245,32.5953937,129.3003967,-0.297,-186.747,102.966,1,4929,34,90
246,32.5953912,129.3003991,-0.297,-187.524,103.596,1,4929,34,90
247,32.5953887,129.3004015,-0.297,-188.301,104.226,1,4929,34,90
248,32.5953862,129.300404,-0.297,-189.078,104.856,1,4929,34,90
249,32.5953837,129.3004064,-0.297,-189.855,105.486,1,4929,34,90
250,32.5953811,129.3004088,-0.297,-190.632,106.116,1,4929,34,90
251,32.5953786,129.3004112,-0.297,-191.409,106.746,1,4929,34,90
252,32.5953761,129.3004137,-0.297,-192.186,107.376,1,4929,34,90
253,32.5953736,129.3004161,-0.297,-192.963,108.006,1,4929,34,90
254,32.595371,129.3004185,-0.297,-193.74,108.636,1,4929,34,90
255,32.5953685,129.3004209,-0.297,-194.517,109.266,1,4929,34,90
256,32.595366,129.3004234,-0.297,-195.294,109.896,1,4929,34,90
257,32.5953635,129.3004258,-0.297,-196.071,110.526,1,4929,34,90
258,32.595361,129.3004282,-0.297,-196.848,111.156,1,4929,34,90
259,32.5953584,129.3004307,-0.297,-197.625,111.786,1,4929,34,90
260,32.5953559,129.3004331,-0.297,-198.402,112.416,1,4929,34,90
261,32.5953534,129.3004355,-0.297,-199.179,113.046,1,4929,34,90
262,32.5953509,129.3004379,-0.297,-199.956,113.676,1,4929,34,90
263,32.5953483,129.3004404,-0.297,-200.733,114.306,1,4929,34,90
264,32.5953458,129.3004428,-0.297,-201.51,114.936,1,4929,34,90
265,32.5953433,129.3004452,-0.297,-202.287,115.566,1,4929,34,90
266,32.5953408,129.3004476,-0.297,-203.064,116.196,1,4929,34,90
267,32.5953383,129.3004501,-0.297,-203.841,116.826,1,4929,34,90
268,32.5953357,129.3004525,-0.297,-204.618,117.456,1,4929,34,90
269,32.5953332,129.3004549,-0.297,-205.395,118.086,1,4929,34,90
270,32.5953307,129.3004574,-0.297,-206.172,118.716,1,4929,34,90
271,32.5953282,129.3004598,-0.297,-206.949,119.346,1,4929,34,90
272,32.5953256,129.3004622,-0.297,-207.726,119.976,1,4929,34,90
273,32.5953231,129.3004646,-0.297,-208.503,120.606,1,4929,34,90
274,32.5953206,129.3004671,-0.297,-209.28,121.236,1,4929,34,90
275,32.5953181,129.3004695,-0.297,-210.057,121.866,1,4929,34,90
276,32.5953156,129.3004719,-0.297,-210.834,122.496,1,4929,34,90
277,32.595313,129.3004743,-0.297,-211.611,123.126,1,4929,34,90
278,32.5953105,129.3004768,-0.297,-212.388,123.756,1,4929,34,90
279,32.5953088,129.3004784,-0.297,-212.922,124.189,1,4929,34,90
280,32.5953052,129.3004848,-0.297,-214.036,125.851,1,4929,34,90
281,32.5953034,129.300488,-0.297,-214.593,126.682,1,4929,34,90
282,32.5953015,129.3004912,-0.297,-215.15,127.513,1,4929,34,90
283,32.5952997,129.3004944,-0.297,-215.707,128.344,1,4929,34,90
284,32.5952979,129.3004976,-0.297,-216.264,129.175,1,4929,34,90
285,32.5952961,129.3005008,-0.297,-216.821,130.006,1,4929,34,90
286,32.5952943,129.300504,-0.297,-217.378,130.837,1,4929,34,90
287,32.5952925,129.3005073,-0.297,-217.935,131.668,1,4929,34,90
288,32.5952907,129.3005105,-0.297,-218.492,132.499,1,4929,34,90
289,32.5952889,129.3005137,-0.297,-219.049,133.33,1,4929,34,90
290,32.5952871,129.3005169,-0.297,-219.606,134.161,1,4929,34,90
291,32.5952853,129.3005201,-0.297,-220.163,134.992,1,4929,34,90
292,32.5952835,129.3005233,-0.297,-220.72,135.823,1,4929,34,90
293,32.5952817,129.3005265,-0.297,-221.277,136.654,1,4929,34,90
294,32.5952798,129.3005297,-0.297,-221.834,137.485,1,4929,34,90
295,32.595278,129.3005329,-0.297,-222.391,138.316,1,4929,34,90
296,32.5952762,129.3005361,-0.297,-222.948,139.147,1,4929,34,90
297,32.5952744,129.3005393,-0.297,-223.505,139.978,1,4929,34,90
298,32.5952726,129.3005425,-0.297,-224.062,140.809,1,4929,34,90
299,32.5952708,129.3005457,-0.297,-224.619,141.64,1,4929,34,90
300,32.595269,129.3005489,-0.297,-225.176,142.471,1,4929,34,90
301,32.5952672,129.3005521,-0.297,-225.733,143.302,1,4929,34,90
302,32.5952654,129.3005553,-0.297,-226.29,144.133,1,4929,34,90
303,32.5952636,129.3005585,-0.297,-226.847,144.964,1,4929,34,90
304,32.5952618,129.3005617,-0.297,-227.404,145.795,1,4929,34,90
305,32.59526,129.3005649,-0.297,-227.961,146.626,1,4929,34,90
306,32.5952581,129.3005681,-0.297,-228.518,147.457,1,4929,34,90
307,32.5952563,129.3005713,-0.297,-229.075,148.288,1,4929,34,90
308,32.5952562,129.3005715,-0.297,-229.107,148.335,1,4929,34,90
309,32.5952528,129.300578,-0.297,-230.173,150.027,1,4929,34,90
310,32.595251,129.3005812,-0.297,-230.706,150.873,1,4929,34,90
311,32.5952493,129.3005845,-0.297,-231.239,151.719,1,4929,34,90
312,32.5952476,129.3005878,-0.297,-231.772,152.565,1,4929,34,90
313,32.5952458,129.300591,-0.297,-232.305,153.411,1,4929,34,90
314,32.5952441,129.3005943,-0.297,-232.838,154.257,1,4929,34,90
315,32.5952424,129.3005975,-0.297,-233.371,155.103,1,4929,34,90
316,32.5952407,129.3006008,-0.297,-233.904,155.949,1,4929,34,90
317,32.5952389,129.3006041,-0.297,-234.437,156.795,1,4929,34,90
318,32.5952372,129.3006073,-0.297,-234.97,157.641,1,4929,34,90
319,32.5952355,129.3006106,-0.297,-235.503,158.487,1,4929,34,90
320,32.5952337,129.3006138,-0.297,-236.036,159.333,1,4929,34,90
321,32.595232,129.3006171,-0.297,-236.569,160.179,1,4929,34,90
322,32.5952303,129.3006203,-0.297,-237.102,161.025,1,4929,34,90
323,32.5952285,129.3006236,-0.297,-237.635,161.871,1,4929,34,90
324,32.5952268,129.3006269,-0.297,-238.168,162.717,1,4929,34,90
325,32.5952251,129.3006301,-0.297,-238.701,163.563,1,4929,34,90
326,32.5952234,129.3006334,-0.297,-239.234,164.409,1,4929,34,90
327,32.5952216,129.3006366,-0.297,-239.767,165.255,1,4929,34,90
328,32.5952199,129.3006399,-0.297,-240.3,166.101,1,4929,34,90
329,32.5952182,129.3006432,-0.297,-240.833,166.947,1,4929,34,90
330,32.5952164,129.3006464,-0.297,-241.366,167.793,1,4929,34,90
331,32.5952147,129.3006497,-0.297,-241.899,168.639,1,4929,34,90
332,32.595213,129.3006529,-0.297,-242.432,169.485,1,4929,34,90
333,32.5952112,129.3006562,-0.297,-242.965,170.331,1,4929,34,90
334,32.5952095,129.3006595,-0.297,-243.498,171.177,1,4929,34,90
335,32.5952078,129.3006627,-0.297,-244.031,172.023,1,4929,34,90
336,32.5952064,129.3006652,-0.297,-244.442,172.674,1,4929,34,90
337,32.5952029,129.3006717,-0.297,-245.538,174.348,1,4929,34,90
338,32.5952011,129.3006749,-0.297,-246.086,175.185,1,4929,34,90
339,32.5951993,129.3006781,-0.297,-246.634,176.022,1,4929,34,90
340,32.5951976,129.3006813,-0.297,-247.182,176.859,1,4929,34,90
341,32.5951958,129.3006846,-0.297,-247.73,177.696,1,4929,34,90
342,32.595194,129.3006878,-0.297,-248.278,178.533,1,4929,34,90
343,32.5951922,129.300691,-0.297,-248.826,179.37,1,4929,34,90
344,32.5951904,129.3006942,-0.297,-249.374,180.207,1,4929,34,90
345,32.5951887,129.3006975,-0.297,-249.922,181.044,1,4929,34,90
346,32.595188,129.3006987,-0.297,-250.139,181.376,1,4929,34,90
347,32.595183,129.3007038,-0.297,-251.659,182.676,1,4929,34,90
348,32.5951806,129.3007063,-0.297,-252.419,183.326,1,4929,34,90
349,32.5951781,129.3007088,-0.297,-253.179,183.976,1,4929,34,90
350,32.5951756,129.3007113,-0.297,-253.939,184.626,1,4929,34,90
351,32.5951731,129.3007138,-0.297,-254.699,185.276,1,4929,34,90
352,32.5951707,129.3007163,-0.297,-255.459,185.926,1,4929,34,90
353,32.5951682,129.3007188,-0.297,-256.219,186.576,1,4929,34,90
354,32.5951657,129.3007213,-0.297,-256.979,187.226,1,4929,34,90
355,32.5951633,129.3007238,-0.297,-257.739,187.876,1,4929,34,90
356,32.5951608,129.3007263,-0.297,-258.499,188.526,1,4929,34,90
357,32.5951583,129.3007288,-0.297,-259.259,189.176,1,4929,34,90
358,32.5951559,129.3007313,-0.297,-260.019,189.826,1,4929,34,90
359,32.5951534,129.3007338,-0.297,-260.779,190.476,1,4929,34,90
360,32.5951525,129.3007348,-0.297,-261.071,190.726,1,4929,34,90
361,32.5951466,129.3007382,-0.297,-262.863,191.614,1,4929,34,90
362,32.5951437,129.3007399,-0.297,-263.759,192.058,1,4929,34,90
363,32.5951408,129.3007416,-0.297,-264.655,192.502,1,4929,34,90
364,32.5951379,129.3007433,-0.297,-265.551,192.946,1,4929,34,90
365,32.595135,129.300745,-0.297,-266.447,193.39,1,4929,34,90
366,32.5951321,129.3007467,-0.297,-267.343,193.834,1,4929,34,90
367,32.5951292,129.3007485,-0.297,-268.239,194.278,1,4929,34,90
368,32.5951263,129.3007502,-0.297,-269.135,194.722,1,4929,34,90
369,32.5951234,129.3007519,-0.297,-270.031,195.166,1,4929,34,90
370,32.5951205,129.3007536,-0.297,-270.927,195.61,1,4929,34,90
371,32.5951176,129.3007553,-0.297,-271.823,196.054,1,4929,34,90
372,32.5951146,129.300757,-0.297,-272.719,196.498,1,4929,34,90
373,32.595114,129.3007574,-0.297,-272.929,196.602,1,4929,34,90
374,32.5951077,129.3007592,-0.297,-274.873,197.072,1,4929,34,90
375,32.5951045,129.3007601,-0.297,-275.845,197.307,1,4929,34,90
376,32.5951013,129.300761,-0.297,-276.817,197.542,1,4929,34,90
377,32.5950982,129.3007619,-0.297,-277.789,197.777,1,4929,34,90
378,32.595095,129.3007628,-0.297,-278.761,198.012,1,4929,34,90
379,32.5950919,129.3007637,-0.297,-279.733,198.247,1,4929,34,90
380,32.5950887,129.3007646,-0.297,-280.705,198.482,1,4929,34,90
381,32.5950856,129.3007656,-0.297,-281.677,198.717,1,4929,34,90
382,32.5950824,129.3007665,-0.297,-282.649,198.952,1,4929,34,90
383,32.5950793,129.3007674,-0.297,-283.621,199.187,1,4929,34,90
384,32.5950761,129.3007683,-0.297,-284.593,199.422,1,4929,34,90
385,32.5950729,129.3007692,-0.297,-285.565,199.657,1,4929,34,90
386,32.5950698,129.3007701,-0.297,-286.537,199.892,1,4929,34,90
387,32.5950666,129.300771,-0.297,-287.509,200.127,1,4929,34,90
388,32.5950663,129.3007711,-0.297,-287.622,200.154,1,4929,34,90
389,32.59506,129.3007731,-0.297,-289.554,200.67,1,4929,34,90
390,32.5950569,129.3007741,-0.297,-290.52,200.928,1,4929,34,90
391,32.5950537,129.3007751,-0.297,-291.486,201.186,1,4929,34,90
392,32.5950506,129.3007761,-0.297,-292.452,201.444,1,4929,34,90
393,32.5950475,129.300777,-0.297,-293.418,201.702,1,4929,34,90
394,32.5950443,129.300778,-0.297,-294.384,201.96,1,4929,34,90
395,32.5950412,129.300779,-0.297,-295.35,202.218,1,4929,34,90
396,32.595038,129.30078,-0.297,-296.316,202.476,1,4929,34,90
397,32.5950349,129.300781,-0.297,-297.282,202.734,1,4929,34,90
398,32.5950318,129.300782,-0.297,-298.248,202.992,1,4929,34,90
399,32.5950286,129.300783,-0.297,-299.214,203.25,1,4929,34,90
400,32.5950255,129.300784,-0.297,-300.18,203.508,1,4929,34,90
401,32.5950224,129.300785,-0.297,-301.146,203.766,1,4929,34,90
402,32.5950192,129.300786,-0.297,-302.112,204.024,1,4929,34,90
403,32.5950161,129.300787,-0.297,-303.078,204.282,1,4929,34,90
404,32.595013,129.300788,-0.297,-304.044,204.54,1,4929,34,90
405,32.5950098,129.300789,-0.297,-305.01,204.798,1,4929,34,90
406,32.5950067,129.30079,-0.297,-305.976,205.056,1,4929,34,90
407,32.5950035,129.300791,-0.297,-306.942,205.314,1,4929,34,90
408,32.5950004,129.300792,-0.297,-307.908,205.572,1,4929,34,90
409,32.5949973,129.300793,-0.297,-308.874,205.83,1,4929,34,90
410,32.5949941,129.3007939,-0.297,-309.84,206.088,1,4929,34,90
411,32.594991,129.3007949,-0.297,-310.806,206.346,1,4929,34,90
412,32.5949879,129.3007959,-0.297,-311.772,206.604,1,4929,34,90
413,32.5949847,129.3007969,-0.297,-312.738,206.862,1,4929,34,90
414,32.5949816,129.3007979,-0.297,-313.704,207.12,1,4929,34,90
415,32.5949785,129.3007989,-0.297,-314.67,207.378,1,4929,34,90
416,32.5949753,129.3007999,-0.297,-315.636,207.636,1,4929,34,90
417,32.5949722,129.3008009,-0.297,-316.602,207.894,1,4929,34,90
418,32.5949691,129.3008019,-0.297,-317.568,208.152,1,4929,34,90
419,32.5949659,129.3008029,-0.297,-318.534,208.41,1,4929,34,90
420,32.5949628,129.3008039,-0.297,-319.5,208.668,1,4929,34,90
421,32.5949596,129.3008049,-0.297,-320.466,208.926,1,4929,34,90
422,32.5949565,129.3008059,-0.297,-321.432,209.184,1,4929,34,90
423,32.5949534,129.3008069,-0.297,-322.398,209.442,1,4929,34,90
424,32.5949502,129.3008079,-0.297,-323.364,209.7,1,4929,34,90
425,32.5949471,129.3008089,-0.297,-324.33,209.958,1,4929,34,90
426,32.594944,129.3008098,-0.297,-325.296,210.216,1,4929,34,90
427,32.5949408,129.3008108,-0.297,-326.262,210.474,1,4929,34,90
428,32.5949377,129.3008118,-0.297,-327.228,210.732,1,4929,34,90
429,32.5949346,129.3008128,-0.297,-328.194,210.99,1,4929,34,90
430,32.5949314,129.3008138,-0.297,-329.16,211.248,1,4929,34,90
431,32.5949283,129.3008148,-0.297,-330.126,211.506,1,4929,34,90
432,32.5949251,129.3008158,-0.297,-331.092,211.764,1,4929,34,90
433,32.594922,129.3008168,-0.297,-332.058,212.022,1,4929,34,90
434,32.5949189,129.3008178,-0.297,-333.024,212.28,1,4929,34,90
435,32.5949157,129.3008188,-0.297,-333.99,212.538,1,4929,34,90
436,32.5949126,129.3008198,-0.297,-334.956,212.796,1,4929,34,90
437,32.5949095,129.3008208,-0.297,-335.922,213.054,1,4929,34,90
438,32.5949081,129.3008212,-0.297,-336.346,213.167,1,4929,34,90
